correctedSentence,elongated,sentenceLength,sentenceWordLength,spellDelta,charNGrams,wordNGrams,#,@,E,",",~,U,A,D,!,N,P,O,R,&,L,Z,^,V,$,G,T,X,S,Y,M,langFam,lang,user
sure here is a picture of the austrian pm posing with lgbt after his speech this summer http imgl krone at wilder 2016 06 19 kanzler bern stake bede pei regenbogenparade adas gab es enoch lie story 515799_630x356px_a9e2ac174b83a053fcb8696659993c8a__kern schwul s1260_jpg jag where is erdogans oh teargas and police violence against the 80 people who came after the parade as been banned in turkey yeah we are the racists d doled so hard on that one,1,75,4.986666666666666,0.58,"[(('e', ' ', 'a'), 7), ((' ', 't', 'h'), 6), (('r', 'e', ' '), 5), (('e', 'r', ' '), 5), (('i', 's', ' '), 4)]","[(('sure', 'here'), 1), (('here', 'is'), 1), (('is', 'a'), 1), (('a', 'picture'), 1), (('picture', 'of'), 1)]",0,0,0,0,0,1.3333333333333335,2.666666666666667,10.66666666666667,2.666666666666667,21.333333333333332,12.000000000000004,2.666666666666667,4.0,1.3333333333333335,0,0,18.666666666666668,13.333333333333337,8.000000000000002,1.3333333333333335,0,0,0,0,0,Germanic,German,0x126
that is bullshit if there is some sort of concert or event everyone with a purse or a backpack is searched not only special turkish flowers,0,26,4.384615384615385,0.15384615384615385,"[((' ', 'i', 's'), 3), (('i', 's', ' '), 3), (('t', ' ', 'o'), 3), (('t', ' ', 'i'), 2), (('s', ' ', 's'), 2)]","[(('that', 'is'), 1), (('is', 'bullshit'), 1), (('bullshit', 'if'), 1), (('if', 'there'), 1), (('there', 'is'), 1)]",0,0,0,0,0,0,3.8461538461538463,11.538461538461538,0,34.61538461538461,11.538461538461538,3.8461538461538463,7.6923076923076925,7.6923076923076925,0,0,0,15.384615384615385,0,0,0,3.8461538461538463,0,0,0,Germanic,German,0x126
i doled at least twice on your comment thanks,0,9,4.111111111111111,0.33333333333333337,"[(('t', ' ', 't'), 2), (('i', ' ', 'd'), 1), ((' ', 'd', 'o'), 1), (('d', 'o', 'l'), 1), (('o', 'l', 'e'), 1)]","[(('i', 'loled'), 1), (('loled', 'at'), 1), (('at', 'least'), 1), (('least', 'twice'), 1), (('twice', 'on'), 1)]",0,0,0,0,0,0,11.11111111111111,11.11111111111111,0,22.22222222222222,22.22222222222222,11.11111111111111,11.11111111111111,0,0,0,0,11.11111111111111,0,0,0,0,0,0,0,Germanic,German,0x126
i saw this happening i was there that day this has nothing to do with democracy and not with austria https wow you tube com watch v fvxhisxitvq the aka burks here are animals i know many burks that are peaceful and behave well your problems have nothing to do with austria not the hate not the war not the politics that is why all here think so it is not racist in any way to speak out against hate and an islamic dictatorship that oppresses minorities and other cultures,1,90,4.2444444444444445,2.0,"[((' ', 't', 'h'), 12), ((' ', 'n', 'o'), 7), (('n', 'o', 't'), 7), ((' ', 'a', 'n'), 7), (('t', 'h', 'e'), 6)]","[(('not', 'the'), 3), (('nothing', 'to'), 2), (('to', 'do'), 2), (('do', 'with'), 2), (('with', 'austria'), 2)]",0,0,0,0,0,0,4.444444444444445,9.999999999999998,1.1111111111111112,16.666666666666664,14.444444444444441,7.777777777777777,11.111111111111109,4.444444444444445,0,0,5.555555555555555,22.222222222222218,0,1.1111111111111112,1.1111111111111112,0,0,0,0,Germanic,German,0x126
why would you only monkey get and there the color ethnicity or the religion does not matter stupid violent against minorities or police or the republic that is where the fun ends,0,32,4.59375,0.15625,"[((' ', 't', 'h'), 6), (('t', 'h', 'e'), 5), (('h', 'e', ' '), 4), (('o', 'r', ' '), 4), ((' ', 'o', 'r'), 3)]","[(('or', 'the'), 2), (('why', 'would'), 1), (('would', 'you'), 1), (('you', 'only'), 1), (('only', 'monkey'), 1)]",0,0,0,0,0,0,9.375,12.5,0,25.0,6.25,3.125,12.5,12.5,0,0,0,18.75,0,0,0,0,0,0,0,Germanic,German,0x126
met him once nice guy edit polo clearly,0,8,4.0,0.3125,"[(('c', 'e', ' '), 2), (('m', 'e', 't'), 1), (('e', 't', ' '), 1), (('t', ' ', 'h'), 1), ((' ', 'h', 'i'), 1)]","[(('met', 'him'), 1), (('him', 'once'), 1), (('once', 'nice'), 1), (('nice', 'guy'), 1), (('guy', 'edit'), 1)]",0,0,0,0,0,0,12.5,0,0,25.0,0,12.5,25.0,0,0,0,0,25.0,0,0,0,0,0,0,0,Germanic,German,0x126
chm want the last time about 4 years ago and this year it was forbidden and the small group still attended was torn based and beaten yeah that is how it works for their own safety the point is what has racism to do with stopping a negotiation with a middle age islamic dictatorship the same amount,1,57,4.228070175438597,0.5178571428571429,"[((' ', 't', 'h'), 7), (('t', 'h', 'e'), 5), (('h', 'e', ' '), 4), ((' ', 'w', 'a'), 3), (('e', ' ', 'a'), 3)]","[(('ehm', 'wasnt'), 1), (('wasnt', 'the'), 1), (('the', 'last'), 1), (('last', 'time'), 1), (('time', 'about'), 1)]",0,0,0,0,0,0,8.771929824561402,14.035087719298245,1.7543859649122806,22.807017543859647,8.771929824561402,7.017543859649122,5.263157894736842,5.263157894736842,0,0,1.7543859649122806,22.807017543859647,1.7543859649122806,0,0,0,0,0,0,Germanic,German,0x126
good point,0,2,4.5,0.25,"[(('g', 'o', 'o'), 1), (('o', 'o', 'd'), 1), (('o', 'd', ' '), 1), (('d', ' ', 'p'), 1), ((' ', 'p', 'o'), 1)]","[(('good', 'point'), 1)]",0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germanic,German,0x126
so you want what exactly the brexit kills much for me personally shit vote sorry,0,15,4.4,0.16666666666666666,"[(('l', 'y', ' '), 2), (('i', 't', ' '), 2), (('s', 'o', ' '), 1), (('o', ' ', 'y'), 1), ((' ', 'y', 'o'), 1)]","[(('so', 'you'), 1), (('you', 'want'), 1), (('want', 'what'), 1), (('what', 'exactly'), 1), (('exactly', 'the'), 1)]",0,0,0,0,0,0,13.333333333333334,6.666666666666667,0,13.333333333333334,13.333333333333334,20.0,13.333333333333334,0,0,0,0,20.0,0,0,0,0,0,0,0,Germanic,German,0x126
so it continues,0,3,4.333333333333333,0.6666666666666666,"[(('s', 'o', ' '), 1), (('o', ' ', 'i'), 1), ((' ', 'i', 't'), 1), (('i', 't', ' '), 1), (('t', ' ', 'c'), 1)]","[(('so', 'it'), 1), (('it', 'continues'), 1)]",0,0,0,0,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,Germanic,German,0x126
